Location,Average_Cost,Online_Order,Table_Booking,Rating,Votes,Reviews_Count,Cuisines,Delivery_Time,Popularity
Nashik,,Yes,No,3.2,497,358.0,Seafood,33,Low
Delhi,453.0,Yes,Yes,4.9,549,525.0,Seafood,29,High
Chennai,95.0,No,No,4.0,77,419.0,Rajasthani,51,Low
Kochi,127.0,No,Yes,2.7,619,132.0,North Indian,39,Low
Delhi,435.0,Yes,No,4.4,401,397.0,Continental,35,High
Goa,85.0,Yes,No,3.3,861,207.0,Street Food,36,Low
Nagpur,181.0,Yes,Yes,2.7,733,531.0,Kerala,25,High
Pune,155.0,No,No,3.0,79,537.0,Biryani,22,Low
Bhopal,360.0,No,Yes,4.4,723,299.0,South Indian,29,High
Indore,149.0,Yes,No,2.9,544,461.0,Gujarati,52,Low
Bhopal,145.0,Yes,Yes,5.0,607,325.0,Seafood,53,High
Surat,493.0,Yes,Yes,4.7,655,254.0,Biryani,21,High
Indore,292.0,Yes,No,4.8,830,394.0,Continental,21,High
Goa,426.0,Yes,Yes,4.3,842,358.0,Rajasthani,34,High
Mumbai,208.0,No,No,2.7,346,28.0,Street Food,42,Low
Mumbai,120.0,Yes,No,2.8,392,100.0,Rajasthani,34,Low
Chennai,5966.0,No,No,4.9,608,496.0,Rajasthani,21,High
Jaipur,240.0,Yes,Yes,3.3,177,220.0,Seafood,59,Low
Ahmedabad,300.0,Yes,Yes,4.4,522,,Biryani,34,High
Nagpur,152.0,Yes,Yes,4.9,154,402.0,Biryani,59,High
Hyderabad,209.0,Yes,No,4.3,318,86.0,Kerala,20,Low
Bhopal,173.0,Yes,Yes,3.5,819,280.0,Chinese,36,Low
Hyderabad,226.0,Yes,Yes,4.7,42,318.0,Gujarati,46,Low
Nashik,486.0,Yes,Yes,4.7,866,183.0,Biryani,27,High
Goa,386.0,Yes,Yes,4.5,654,353.0,Gujarati,30,High
Hyderabad,101.0,No,No,3.2,74,257.0,Continental,53,Low
Chennai,407.0,Yes,Yes,4.8,785,,Gujarati,30,High
Nashik,214.0,Yes,No,4.3,90,381.0,Chinese,60,Low
Mumbai,,No,No,3.3,50,572.0,Biryani,34,Low
Jaipur,220.0,No,Yes,4.1,49,34.0,North Indian,54,Low
Bhopal,133.0,Yes,Yes,2.9,775,454.0,Continental,46,Low
Mumbai,408.0,Yes,Yes,4.3,475,539.0,Biryani,27,High
Goa,418.0,Yes,No,5.0,638,136.0,Gujarati,30,High
Indore,83.0,No,Yes,3.1,602,332.0,Rajasthani,27,Low
Surat,600.0,No,No,5.0,684,249.0,Continental,24,High
Pune,471.0,No,Yes,4.4,462,430.0,Biryani,21,High
Bhopal,122.0,Yes,No,2.7,424,482.0,Kerala,20,High
Surat,554.0,No,Yes,5.0,671,567.0,Continental,30,High
Jaipur,403.0,Yes,No,4.3,427,283.0,Seafood,30,High
Kochi,367.0,Yes,Yes,4.9,587,426.0,Biryani,21,High
Chennai,163.0,Yes,No,2.7,345,327.0,Biryani,46,Low
Goa,86.0,Yes,No,2.7,85,67.0,Continental,33,Low
Chennai,288.0,Yes,No,4.9,480,242.0,Continental,142,High
Bhopal,230.0,Yes,Yes,4.2,73,,Street Food,49,Low
Delhi,126.0,Yes,No,2.8,442,566.0,Seafood,30,Low
Bhopal,528.0,Yes,Yes,4.6,485,177.0,Street Food,32,High
Indore,148.0,Yes,Yes,2.9,274,564.0,South Indian,27,Low
Goa,499.0,No,Yes,4.6,723,305.0,North Indian,30,High
Jaipur,497.0,Yes,No,5.0,521,300.0,Rajasthani,26,High
Indore,181.0,No,No,4.5,90,148.0,Rajasthani,47,Low
Pune,82.0,No,No,2.7,289,483.0,Kerala,27,Low
Hyderabad,108.0,Yes,Yes,3.5,254,,Street Food,53,High
Goa,170.0,No,No,2.7,447,224.0,Street Food,26,Low
Hyderabad,146.0,Yes,Yes,3.2,879,222.0,North Indian,29,Low
Jaipur,159.0,Yes,Yes,,686,265.0,Chinese,57,Low
Nashik,249.0,Yes,No,3.5,167,189.0,Seafood,21,Low
Surat,467.0,Yes,Yes,4.9,781,220.0,Kerala,22,High
Mumbai,225.0,No,No,3.0,830,408.0,North Indian,42,Low
Mumbai,148.0,No,Yes,3.7,78,223.0,Chinese,53,Low
Delhi,486.0,No,Yes,4.3,514,90.0,Cafe,32,High
Nagpur,307.0,No,No,5.0,728,431.0,Biryani,25,High
Mumbai,408.0,Yes,Yes,4.3,475,539.0,Biryani,27,High
Goa,168.0,No,No,2.6,3285,116.0,Seafood,58,Low
Goa,86.0,Yes,No,2.6,41,176.0,Chinese,21,Low
Bhopal,93.0,No,Yes,2.7,299,203.0,Biryani,32,Low
Surat,99.0,Yes,No,2.8,873,430.0,North Indian,43,High
Chennai,188.0,Yes,Yes,2.6,142,308.0,Street Food,59,Low
Ahmedabad,259.0,No,No,4.3,786,559.0,South Indian,25,High
Delhi,511.0,No,Yes,4.9,470,128.0,Biryani,20,High
Indore,140.0,Yes,No,3.5,261,210.0,Gujarati,47,Low
Bhopal,140.0,Yes,Yes,3.5,654,315.0,Kerala,29,Low
Nashik,160.0,No,No,3.2,561,72.0,Cafe,22,Low
Bhopal,247.0,Yes,No,3.5,689,585.0,Seafood,57,High
Ahmedabad,145.0,Yes,No,2.6,102,76.0,Cafe,22,Low
Delhi,345.0,Yes,Yes,4.4,579,,Kerala,44,High
Pune,144.0,Yes,Yes,3.3,745,480.0,Kerala,44,Low
Bangalore,170.0,No,No,4.2,59,112.0,Rajasthani,29,Low
Mumbai,87.0,No,No,2.7,883,247.0,Kerala,29,Low
Bangalore,230.0,No,No,2.7,800,119.0,Gujarati,25,Low
Nagpur,216.0,No,No,2.8,269,104.0,Biryani,105,Low
Indore,247.0,Yes,No,2.9,298,123.0,Seafood,21,Low
Bangalore,135.0,No,Yes,3.4,620,468.0,Chinese,36,High
Pune,212.0,No,Yes,3.4,142,365.0,Kerala,45,Low
Ahmedabad,144.0,Yes,Yes,4.9,721,424.0,Kerala,39,High
Surat,174.0,Yes,No,3.5,741,381.0,Gujarati,35,Low
Bhopal,247.0,Yes,No,3.5,689,585.0,Seafood,57,High
Indore,247.0,Yes,Yes,3.3,139,288.0,Street Food,26,Low
Nagpur,331.0,Yes,No,3.6,735,357.0,Seafood,46,Low
Mumbai,232.0,No,No,3.3,843,230.0,Gujarati,51,Low
Jaipur,94.0,Yes,Yes,3.1,795,569.0,Gujarati,56,High
Pune,329.0,No,No,4.4,519,55.0,Cafe,26,High
Surat,558.0,Yes,Yes,4.3,483,579.0,Street Food,34,High
Nagpur,296.0,No,Yes,,526,488.0,Cafe,32,High
Ahmedabad,154.0,No,No,,109,340.0,South Indian,56,Low
Delhi,303.0,No,No,4.0,678,532.0,Biryani,37,High
Mumbai,137.0,No,Yes,2.6,536,158.0,Kerala,41,High
Nashik,6142.0,Yes,Yes,5.0,90,556.0,Cafe,22,Low
Nagpur,109.0,No,Yes,4.6,33,265.0,South Indian,24,Low
Goa,,No,Yes,4.2,71,354.0,Gujarati,46,High
Nashik,148.0,No,No,2.5,702,230.0,Seafood,37,Low
Jaipur,131.0,Yes,No,3.4,806,107.0,Rajasthani,29,Low
Surat,554.0,No,Yes,5.0,671,567.0,Continental,30,High
Kochi,,No,No,5.0,635,259.0,South Indian,31,High
Kochi,200.0,Yes,Yes,3.4,70,511.0,Fast Food,49,Low
Ahmedabad,150.0,No,Yes,2.9,711,55.0,Rajasthani,58,Low
Chennai,236.0,Yes,No,2.9,31,129.0,Chinese,53,Low
Pune,,Yes,No,2.9,130,548.0,South Indian,28,Low
Bhopal,188.0,Yes,Yes,3.3,652,375.0,Gujarati,34,Low
Indore,167.0,Yes,Yes,3.9,78,503.0,Fast Food,55,Low
Ahmedabad,168.0,Yes,Yes,3.0,873,,Rajasthani,51,Low
Mumbai,213.0,No,Yes,3.0,55,37.0,Chinese,36,Low
Nashik,150.0,Yes,Yes,3.0,164,412.0,Fast Food,28,High
Hyderabad,232.0,Yes,No,3.1,493,478.0,Street Food,45,High
Bangalore,565.0,Yes,No,4.6,897,146.0,Seafood,33,High
Indore,321.0,No,No,4.5,864,329.0,South Indian,20,High
Goa,176.0,No,No,2.9,674,337.0,North Indian,58,Low
Hyderabad,506.0,No,Yes,3.8,375,210.0,Fast Food,48,High
Bhopal,242.0,No,Yes,3.2,657,469.0,South Indian,59,High
Nashik,111.0,No,No,2.8,60,540.0,Biryani,60,High
Surat,493.0,Yes,Yes,4.7,655,254.0,Biryani,21,High
Pune,192.0,Yes,No,2.8,2896,329.0,Gujarati,54,Low
Chennai,572.0,Yes,Yes,4.4,472,46.0,Chinese,33,High
Chennai,549.0,No,No,4.4,568,285.0,Chinese,28,High
Nashik,223.0,No,Yes,3.2,548,559.0,Biryani,60,Low
Mumbai,369.0,No,Yes,4.4,580,461.0,Chinese,31,High
Kochi,561.0,Yes,Yes,4.7,758,292.0,South Indian,32,Low
Pune,221.0,Yes,Yes,3.6,45,369.0,South Indian,35,Low
Nagpur,533.0,Yes,Yes,4.9,684,156.0,Seafood,27,High
Nagpur,210.0,No,Yes,3.2,182,355.0,Kerala,35,Low
Surat,196.0,No,Yes,3.3,704,207.0,North Indian,60,Low
Goa,,Yes,Yes,3.1,680,497.0,South Indian,60,Low
Nagpur,307.0,No,No,5.0,728,431.0,Biryani,25,High
Nagpur,196.0,No,Yes,2.9,564,242.0,Fast Food,59,Low
Kochi,557.0,Yes,Yes,4.9,697,,North Indian,32,High
Indore,81.0,Yes,No,2.8,602,500.0,South Indian,158,Low
Surat,99.0,Yes,No,2.8,873,430.0,North Indian,43,High
Ahmedabad,541.0,No,No,4.7,644,211.0,Chinese,26,High
Pune,239.0,No,No,3.4,701,44.0,Chinese,39,Low
Delhi,5720.0,Yes,No,3.1,251,297.0,Continental,28,Low
Nashik,142.0,No,No,3.4,35,573.0,Gujarati,55,High
Mumbai,470.0,No,Yes,5.0,486,35.0,Seafood,24,High
Delhi,216.0,No,No,4.6,63,411.0,Biryani,36,Low
Chennai,2506.0,Yes,Yes,3.2,144,111.0,Biryani,41,Low
Kochi,219.0,Yes,No,3.3,680,219.0,Seafood,103,Low
Mumbai,579.0,Yes,No,3.6,308,295.0,South Indian,26,High
Jaipur,429.0,Yes,No,4.1,601,44.0,North Indian,23,High
Indore,317.0,No,No,4.5,699,164.0,South Indian,30,High
Jaipur,420.0,No,Yes,4.7,409,46.0,Biryani,26,High
Mumbai,83.0,No,Yes,2.6,464,412.0,South Indian,24,Low
Nagpur,307.0,No,No,5.0,728,431.0,Biryani,25,High
Surat,145.0,No,No,3.7,107,484.0,South Indian,37,Low
Delhi,564.0,Yes,No,4.5,891,314.0,Continental,31,High
Hyderabad,,Yes,No,3.0,411,165.0,Cafe,22,Low
Pune,171.0,No,No,3.9,53,249.0,Street Food,38,High
Mumbai,369.0,No,Yes,4.4,580,461.0,Chinese,31,High
Hyderabad,211.0,Yes,No,3.5,100,563.0,Chinese,53,Low
Bhopal,119.0,No,No,3.3,880,210.0,Continental,37,Low
Bhopal,98.0,Yes,Yes,3.2,295,355.0,Rajasthani,45,Low
Pune,149.0,No,Yes,2.8,177,241.0,Fast Food,30,High
Ahmedabad,148.0,No,Yes,4.7,55,,Chinese,41,Low
Kochi,87.0,Yes,Yes,3.3,2481,305.0,Kerala,25,Low
Goa,115.0,Yes,Yes,2.5,768,518.0,Gujarati,47,Low
Jaipur,94.0,Yes,Yes,3.1,795,569.0,Gujarati,56,High
Chennai,295.0,No,No,4.8,598,555.0,Seafood,27,High
Kochi,297.0,Yes,No,4.9,653,265.0,Continental,30,High
Bhopal,,No,Yes,3.5,844,514.0,Rajasthani,24,Low
Delhi,166.0,Yes,Yes,4.3,126,410.0,Street Food,55,Low
Surat,166.0,No,Yes,2.8,743,590.0,Seafood,35,Low
Pune,149.0,No,Yes,2.8,177,241.0,Fast Food,30,High
Indore,448.0,Yes,Yes,4.8,730,259.0,Kerala,20,High
Indore,186.0,No,Yes,3.2,863,264.0,North Indian,40,Low
Ahmedabad,133.0,No,No,3.6,51,102.0,Rajasthani,56,Low
Pune,129.0,Yes,No,2.7,364,454.0,Kerala,24,Low
Hyderabad,180.0,No,No,4.6,40,50.0,Continental,32,Low
Delhi,545.0,No,No,4.4,506,85.0,Biryani,32,High
Indore,116.0,No,No,2.8,129,423.0,Street Food,43,Low
Nashik,83.0,Yes,No,2.8,539,547.0,Street Food,54,Low
Mumbai,129.0,Yes,Yes,3.2,255,62.0,Fast Food,22,Low
Jaipur,289.0,Yes,No,4.8,711,215.0,Gujarati,103,High
Hyderabad,207.0,No,No,3.1,370,331.0,Kerala,25,Low
Nagpur,486.0,Yes,Yes,4.6,740,278.0,Rajasthani,23,High
Goa,485.0,No,No,,567,423.0,Kerala,26,High
Nagpur,112.0,No,Yes,2.7,177,515.0,Continental,20,Low
Goa,163.0,Yes,Yes,2.9,705,111.0,Kerala,26,Low
Hyderabad,316.0,Yes,No,4.6,846,195.0,Biryani,25,High
Bangalore,135.0,No,Yes,3.4,620,468.0,Chinese,36,High
Nashik,167.0,Yes,No,2.8,50,264.0,Continental,42,High
Jaipur,335.0,Yes,Yes,4.9,1758,235.0,Seafood,31,High
Kochi,157.0,Yes,No,4.3,94,66.0,Seafood,24,Low
Jaipur,313.0,No,Yes,4.5,603,291.0,Rajasthani,28,High
Indore,224.0,Yes,No,2.7,780,295.0,Chinese,60,Low
Hyderabad,89.0,No,Yes,3.0,578,474.0,Kerala,27,Low
Jaipur,192.0,No,No,3.1,188,439.0,Street Food,28,Low
Jaipur,477.0,Yes,No,4.6,486,238.0,Street Food,34,High
Delhi,130.0,No,No,4.6,271,409.0,Fast Food,42,High
Jaipur,86.0,No,No,2.8,481,497.0,Street Food,27,Low
Jaipur,345.0,No,Yes,5.0,646,189.0,Rajasthani,51,High
Bangalore,404.0,No,Yes,4.7,615,536.0,Chinese,22,High
Chennai,549.0,No,No,4.4,568,285.0,Chinese,28,High
Mumbai,81.0,Yes,No,3.0,843,,Biryani,46,Low
Nagpur,192.0,Yes,Yes,2.8,822,156.0,South Indian,29,Low
Goa,406.0,Yes,Yes,4.5,659,106.0,Rajasthani,28,High
Mumbai,95.0,No,Yes,2.6,377,496.0,Chinese,50,Low
Surat,434.0,No,Yes,5.0,841,162.0,Street Food,35,High
Ahmedabad,87.0,No,No,3.3,631,382.0,Gujarati,32,Low
Pune,128.0,Yes,Yes,2.6,542,337.0,Seafood,56,Low
Nashik,444.0,Yes,Yes,5.0,658,540.0,Fast Food,30,High
Mumbai,183.0,No,Yes,3.0,212,152.0,Cafe,34,Low
Chennai,414.0,No,No,4.6,731,120.0,North Indian,34,High
Indore,321.0,No,No,4.5,864,329.0,South Indian,20,High
Surat,219.0,Yes,No,3.3,255,208.0,Street Food,53,Low
Chennai,406.0,Yes,Yes,4.8,721,493.0,Chinese,31,High
Jaipur,575.0,No,Yes,4.6,1776,295.0,Gujarati,20,High
Pune,92.0,Yes,Yes,2.5,251,309.0,Kerala,21,Low
Surat,106.0,Yes,Yes,,587,101.0,Street Food,49,High
Delhi,130.0,No,No,4.6,271,409.0,Fast Food,42,High
Pune,,Yes,No,2.7,636,245.0,South Indian,55,Low
Goa,535.0,Yes,Yes,4.5,649,473.0,Gujarati,20,High
Jaipur,235.0,Yes,No,2.9,249,494.0,Seafood,23,Low
Goa,386.0,Yes,Yes,4.5,654,353.0,Gujarati,30,High
Mumbai,225.0,Yes,Yes,2.7,215,,Fast Food,31,Low
Pune,136.0,No,Yes,3.1,857,592.0,Kerala,31,Low
Ahmedabad,5161.0,Yes,No,3.6,90,139.0,Continental,28,Low
Mumbai,159.0,No,Yes,3.2,595,324.0,Gujarati,26,Low
Bhopal,239.0,No,No,2.6,456,324.0,South Indian,40,Low
Jaipur,236.0,Yes,No,3.3,276,513.0,Chinese,52,Low
Indore,140.0,No,Yes,3.0,3498,596.0,South Indian,25,High
Nashik,549.0,Yes,Yes,,189,103.0,North Indian,49,High
Goa,254.0,No,Yes,5.0,436,527.0,Gujarati,31,High
Indore,202.0,Yes,Yes,,58,400.0,Cafe,41,Low
Mumbai,206.0,Yes,No,2.8,702,572.0,Rajasthani,43,Low
Chennai,414.0,No,No,4.6,731,120.0,North Indian,34,High
Ahmedabad,170.0,Yes,No,2.7,200,128.0,Gujarati,24,High
Hyderabad,164.0,Yes,No,3.5,407,589.0,Rajasthani,21,Low
Chennai,288.0,Yes,No,4.9,480,242.0,Continental,142,High
Nashik,204.0,Yes,Yes,3.6,486,544.0,Cafe,45,High
Pune,253.0,No,No,4.7,673,390.0,Gujarati,29,High
Mumbai,89.0,Yes,No,3.3,700,501.0,Chinese,29,Low
Goa,418.0,Yes,No,4.8,3264,519.0,Fast Food,23,High
Bangalore,258.0,Yes,No,4.6,566,347.0,North Indian,24,High
Jaipur,429.0,Yes,No,4.1,601,44.0,North Indian,23,High
Ahmedabad,166.0,No,No,3.1,633,430.0,Kerala,53,Low
Hyderabad,258.0,Yes,Yes,4.5,445,421.0,Chinese,28,High
Indore,163.0,No,No,2.8,558,552.0,Gujarati,26,Low
Delhi,447.0,Yes,Yes,4.6,647,520.0,South Indian,21,High
Bangalore,142.0,No,Yes,3.3,171,145.0,Fast Food,32,Low
Chennai,91.0,No,No,2.8,396,106.0,Cafe,31,Low
Jaipur,121.0,No,No,3.2,162,260.0,Gujarati,52,Low
Indore,296.0,No,No,4.5,597,,North Indian,26,High
Bhopal,412.0,No,Yes,4.3,436,463.0,Chinese,32,High
Bangalore,201.0,Yes,Yes,4.3,698,536.0,Kerala,44,High
Kochi,164.0,Yes,Yes,3.5,795,174.0,North Indian,43,High
Chennai,207.0,No,Yes,3.2,749,566.0,Gujarati,52,Low
